ID,Gender,RTotal,RQ1,RQ2,RQ3,RQ4,RQ5,RQ6,RQ7,RQ8,RQ9,RQ10,RQ11,RQ12,RQ13,RQ14,RQ15,RQ16
1,F,15,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
2,F,14,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1
3,F,12,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1
4,F,11,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0
5,F,10,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,0
6,F,9,1,1,1,0,1,0,1,0,1,1,0,0,1,0,0,1
7,F,9,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1
8,F,9,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0,0
9,F,9,1,1,1,0,0,1,1,0,1,0,1,1,1,0,0,0
10,F,9,1,0,0,1,1,1,0,1,0,1,1,1,0,0,0,1
11,F,8,1,0,1,0,0,1,1,0,1,0,0,1,1,1,0,0
12,F,8,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0
13,M,8,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0
14,F,7,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,1
15,F,7,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0
16,F,7,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0
17,M,7,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0
18,F,6,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0
19,F,6,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0
20,M,6,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1
21,F,5,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
22,M,7,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1
23,M,12,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0
24,M,8,1,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0
25,F,7,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1
26,M,5,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0
27,F,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
